Id,Horodateur,Tu es ...,"Ton age ? (Juste le nombre, ex: 19)",Que fais-tu à l'UTC ? ,Ton semestre et ta branche si nécessaire ? (ex: GM04),Est-ce que tu vas au Pic ?,Est-ce que tu bois de l'alcool ?,Tes préférences : [Cidre Loic Raison],Tes préférences : [Chimay Bleue],Tes préférences : [Duvel],Tes préférences : [Grand Cru St Feuillien],Tes préférences : [Pêche Mel Bush],Tes préférences : [Westmalle Triple],Tes préférences : [Barbar Blonde],Tes préférences : [Chouffe],Tes préférences : [Cuvée Des Trolls],Tes préférences : [Delirium Tremens],Tes préférences : [Gauloise Rouge],"Combien bois tu de bières (en moyenne) quand tu viens au Pic ? (Juste le nombre, ex: 3)","Combien de temps te faut-il (en moyenne) pour boire ta bière ? (Juste le nombre de minutes, ex: 20)",A quelle heure arrives-tu en général au Pic ?,Et à quelle heure repars-tu ?,"Quel est ton budget maximum par soir ? (Juste le nombre d'euros, ex: 10)","En général, manges-tu avant d'aller au Pic ?",Quels jours viens-tu au pic ? (En général),Note ta sensibilité à l'alcool :,"Avec combien de potes en moyenne tu passes ta soirée ? (Juste le nombre, ex: 5)",As-tu déjà été permanencier au Pic ?,"Combien de temps te faut-il, en moyenne, pour servir une bière ? (Nombre de secondes, ex: 45)"
82,07/06/2017 17:59:53,Un homme,21,Branche,GP04,Oui,Oui,Jamais bu,Bof...,Pas mal,Jamais bu,Bof...,Pas mal,J'adore !,Pas mal,J'adore !,J'adore !,Pas mal,4,30,19:00:00,21:00:00,9,"Non, manger c'est tricher","Mercredi, Jeudi",4,5,Oui,30
83,07/06/2017 17:59:59,Un homme,19,Tronc commun,TC04,Oui,Oui,Jamais bu,J'adore !,Pas mal,Pas mal,Je déteste !,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,Je déteste !,4,25,19:30:00,22:15:00,10,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,6,Oui,30
84,07/06/2017 18:00:05,Un homme,19,Tronc commun,TC04,Oui,Oui,Jamais bu,J'adore !,Pas mal,Jamais bu,Pas mal,Jamais bu,J'adore !,Jamais bu,J'adore !,Pas mal,Jamais bu,3,15,20:00:00,22:00:00,8,"Non, manger c'est tricher",,4,4,Non,
85,07/06/2017 18:01:02,Un homme,19,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Bof...,J'adore !,Bof...,J'adore !,J'adore !,Jamais bu,Bof...,Bof...,3,10,20:00:00,22:00:00,10,Oui,"Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,7,Non,
86,07/06/2017 18:01:04,Une femme,19,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,J'adore !,Jamais bu,Pas mal,Jamais bu,Pas mal,Pas mal,J'adore !,3,15,20:00:00,22:00:00,8,Oui,Mercredi,3,4,Non,
87,07/06/2017 18:01:16,Un homme,19,Tronc commun,TC02,Oui,Oui,Pas mal,J'adore !,Pas mal,J'adore !,Pas mal,Bof...,Bof...,Pas mal,Jamais bu,J'adore !,Je déteste !,3,15,20:00:00,22:00:00,10,Oui,Vendredi,4,7,Non,
88,07/06/2017 18:01:39,Un homme,19,Tronc commun,tc04,Oui,Oui,Jamais bu,Jamais bu,J'adore !,Pas mal,Bof...,Bof...,Pas mal,Pas mal,J'adore !,J'adore !,Je déteste !,2,30,20:00:00,22:00:00,10,"Non, je mange des snacks au Pic","Lundi, Jeudi, Vendredi",2,5,Oui,30
89,07/06/2017 18:02:15,Un homme,20,Branche,Gi04,Oui,Oui,Jamais bu,Pas mal,Pas mal,Jamais bu,Pas mal,J'adore !,Pas mal,J'adore !,Pas mal,Pas mal,Pas mal,2,20,20:30:00,22:00:00,6,Oui,"Mercredi, Jeudi, Vendredi",3,4,Oui,60
90,07/06/2017 18:05:01,Un homme,21,Branche,GM02,Oui,Oui,Jamais bu,Bof...,Pas mal,Pas mal,Bof...,Pas mal,J'adore !,Pas mal,Bof...,Pas mal,Je déteste !,8,20,18:30:00,22:00:00,20,"Non, je mange un menu au Pic","Mardi, Mercredi, Jeudi, Vendredi",5,10,Oui,25
91,07/06/2017 18:05:10,Un homme,19,Tronc commun,2,Oui,Oui,Jamais bu,J'adore !,Pas mal,J'adore !,Pas mal,J'adore !,Je déteste !,J'adore !,Jamais bu,J'adore !,Pas mal,4,10,20:00:00,22:00:00,10,Oui,"Mercredi, Jeudi, Vendredi",5,12,Oui,25
92,07/06/2017 18:05:19,Un homme,20,Tronc commun,TC06,Oui,Oui,Bof...,J'adore !,J'adore !,J'adore !,Je déteste !,J'adore !,Pas mal,Pas mal,J'adore !,Pas mal,Je déteste !,3,25,20:15:00,22:00:00,10,Oui,"Lundi, Mercredi, Jeudi, Vendredi",3,15,Oui,12
93,07/06/2017 18:05:59,Un homme,22,Branche,GI06,Oui,Oui,Pas mal,Bof...,Je déteste !,J'adore !,Bof...,Bof...,Bof...,J'adore !,Bof...,Bof...,Je déteste !,4,30,18:30:00,21:00:00,8,"Non, je mange un menu au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,5,Oui,15
94,07/06/2017 18:06:36,Une femme,21,Branche,GP04,Oui,Oui,J'adore !,Pas mal,Pas mal,J'adore !,Bof...,Pas mal,J'adore !,J'adore !,Pas mal,Pas mal,Bof...,5,20,19:30:00,22:30:00,12,Oui,"Mercredi, Jeudi",4,6,Oui,50
95,07/06/2017 18:06:43,Un homme,20,Branche,GI02,Oui,Oui,Bof...,Bof...,Bof...,J'adore !,Je déteste !,Bof...,Bof...,J'adore !,Bof...,J'adore !,Je déteste !,3,25,20:30:00,22:00:00,15,"Non, manger c'est tricher","Mercredi, Jeudi, Vendredi",3,6,Oui,30
96,07/06/2017 18:07:03,Un homme,24,Branche,GM06,Oui,Oui,Jamais bu,Je déteste !,Je déteste !,J'adore !,Je déteste !,Pas mal,Pas mal,Jamais bu,J'adore !,J'adore !,Bof...,2,40,20:00:00,22:00:00,10,Oui,"Mardi, Mercredi, Jeudi, Vendredi",3,4,Non,
97,07/06/2017 18:08:17,Un homme,22,Branche,GI04,Oui,Non,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,0,,16:30:00,18:00:00,15,"Non, manger c'est tricher","Lundi, Mercredi",4,2,Non,
98,07/06/2017 18:08:17,Une femme,20,Branche,GSM02,Oui,Oui,Pas mal,Jamais bu,Bof...,J'adore !,Je déteste !,Bof...,J'adore !,Bof...,Pas mal,J'adore !,Je déteste !,4,30,19:30:00,22:30:00,15-20,"Non, je mange un menu au Pic","Mardi, Jeudi, Vendredi",3,20,Oui,12
99,07/06/2017 18:08:19,Un homme,22,Branche,GSM04,Oui,Oui,Jamais bu,Jamais bu,Pas mal,Bof...,Bof...,Jamais bu,J'adore !,Jamais bu,J'adore !,J'adore !,Jamais bu,4,25,19:30:00,22:00:00,25,"Non, manger c'est tricher","Lundi, Mercredi, Jeudi, Vendredi",4,5,Oui,30
100,07/06/2017 18:08:29,Un homme,21,Branche,GP04,Oui,Oui,Bof...,Bof...,Pas mal,J'adore !,Bof...,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,Bof...,3,35,19:15:00,22:30:00,10,"Non, je mange des snacks au Pic","Mardi, Jeudi, Vendredi",3,4,Oui,40
101,07/06/2017 18:08:46,Un homme,22,Double-diplome,GB06,Oui,Oui,Bof...,Bof...,Pas mal,J'adore !,J'adore !,Pas mal,J'adore !,J'adore !,Pas mal,Pas mal,J'adore !,4,20,19:30:00,23:00:00,Illimité,"Non, je mange un menu au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,6,Oui,10
102,07/06/2017 18:09:11,Un homme,22,Branche,GI04,Oui,Oui,Pas mal,Bof...,Pas mal,J'adore !,Bof...,Bof...,Pas mal,J'adore !,Pas mal,J'adore !,Bof...,3,20,19:00:00,22:00:00,15,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",5,6,Oui,20
103,07/06/2017 18:09:19,Une femme,18,Tronc commun,,Oui,Oui,Jamais bu,J'adore !,Jamais bu,Jamais bu,Pas mal,J'adore !,J'adore !,Jamais bu,J'adore !,J'adore !,J'adore !,3,15,20:00:00,22:00:00,10,"Non, manger c'est tricher","Mardi, Jeudi",2,4,Non,
104,07/06/2017 18:09:52,Un homme,21,Branche,GB04,Oui,Oui,Pas mal,Jamais bu,Pas mal,Jamais bu,Jamais bu,Jamais bu,J'adore !,J'adore !,J'adore !,J'adore !,Pas mal,2,7,20:00:00,22:00:00,4,Oui,Mercredi,4,5,Non,
105,07/06/2017 18:10:19,Une femme,21,Branche,GB02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Pas mal,Jamais bu,Pas mal,Jamais bu,J'adore !,J'adore !,J'adore !,2-3,15,19:00:00,22:00:00,5-6,Oui,"Jeudi, Vendredi",4,5-6,Oui,30
106,07/06/2017 18:10:30,Un homme,21,Tronc commun,TC05,Oui,Oui,Bof...,Pas mal,Bof...,Pas mal,Je déteste !,Pas mal,Jamais bu,J'adore !,Jamais bu,J'adore !,Je déteste !,2,25,20:30:00,22:00:00,10,"Non, manger c'est tricher","Mardi, Mercredi, Jeudi, Vendredi",2,4,Oui,30
107,07/06/2017 18:10:38,Une femme,20,Tronc commun,TC04,Oui,Oui,Jamais bu,Jamais bu,Bof...,Jamais bu,Pas mal,Jamais bu,Jamais bu,Jamais bu,Jamais bu,J'adore !,Je déteste !,1,30,20:30:00,22:00:00,5,Oui,"Mercredi, Vendredi",2,6,Oui,30
108,07/06/2017 18:12:40,Une femme,18,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,J'adore !,J'adore !,2,20,20:00:00,22:00:00,5,Oui,"Mardi, Jeudi",1,3,Non,
109,07/06/2017 18:13:17,Un homme,21,Branche,GM02,Oui,Oui,J'adore !,J'adore !,J'adore !,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,J'adore !,Pas mal,3,20,20:30:00,22:00:00,6,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,4,Oui,40
110,07/06/2017 18:13:27,Un homme,18,Tronc commun,TC04,Oui,Oui,Jamais bu,Jamais bu,Pas mal,J'adore !,Bof...,Pas mal,J'adore !,J'adore !,Pas mal,J'adore !,Je déteste !,3,25,20:00:00,22:00:00,10,"Non, manger c'est tricher","Jeudi, Vendredi",3,6,Oui,40
111,07/06/2017 18:13:49,Une femme,19,Tronc commun,Tc02,Oui,Oui,J'adore !,Jamais bu,Jamais bu,Pas mal,J'adore !,Jamais bu,Pas mal,Jamais bu,Pas mal,J'adore !,J'adore !,3,20,20:15:00,22:15:00,12,Oui,"Lundi, Mardi, Mercredi, Jeudi, Vendredi",3,7,Oui,50
112,07/06/2017 18:14:20,Une femme,19,Tronc commun,Tc04,Oui,Oui,Jamais bu,Pas mal,,Pas mal,Bof...,Pas mal,Bof...,Pas mal,Pas mal,Pas mal,Je déteste !,2,25,20:15:00,22:00:00,5,"Non, manger c'est tricher","Jeudi, Vendredi",3,8,Oui,Je ne sais pas !
113,07/06/2017 18:15:45,Un homme,22,Branche,GI04,Oui,Oui,J'adore !,J'adore !,J'adore !,Jamais bu,Pas mal,J'adore !,Jamais bu,Jamais bu,Jamais bu,J'adore !,Pas mal,3,30,18:30:00,22:00:00,14,"Non, je mange des snacks au Pic","Mardi, Jeudi, Vendredi",2,4,Oui,30
114,07/06/2017 18:16:33,Une femme,22,Branche,GI04,Oui,Oui,J'adore !,Pas mal,Jamais bu,Bof...,Je déteste !,Je déteste !,Je déteste !,Pas mal,Pas mal,J'adore !,Je déteste !,Je bois 3 cidres en moyenne,15,20:30:00,21:30:00,Y'a pas,Oui,"Lundi, Mardi, Mercredi",4,3,Oui,40
115,07/06/2017 18:17:14,Un homme,22,Branche,GSU02,Oui,Oui,J'adore !,Bof...,Bof...,Bof...,Bof...,Bof...,Bof...,Bof...,J'adore !,J'adore !,Bof...,3,20,18:30:00,21:00:00,10,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi",4,2,Non,
116,07/06/2017 18:19:18,Une femme,20,Tronc commun,TC04,Oui,Oui,Pas mal,Jamais bu,Bof...,Pas mal,Pas mal,Je déteste !,Jamais bu,Jamais bu,Jamais bu,Pas mal,Bof...,1,20,20:00:00,22:00:00,5,Oui,"Mardi, Jeudi, Vendredi",3,5,Oui,30
117,07/06/2017 18:20:09,Un homme,2,Branche,GI04,Oui,Oui,Pas mal,Pas mal,Jamais bu,J'adore !,Pas mal,Pas mal,Jamais bu,Bof...,J'adore !,Pas mal,Bof...,4,15,19:30:00,22:00:00,10,Oui,"Lundi, Vendredi",4,6,Oui,15
118,07/06/2017 18:20:43,Une femme,18,Tronc commun,TC02,Oui,Non,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,0,0,20:00:00,22:00:00,,Oui,Vendredi,,5,Oui,50
119,07/06/2017 18:21:25,Un homme,18,Tronc commun,tc4,Oui,Oui,J'adore !,Jamais bu,Bof...,Pas mal,Pas mal,Jamais bu,Pas mal,Jamais bu,Bof...,Pas mal,Pas mal,3,30,20:00:00,22:00:00,6,Oui,"Lundi, Jeudi, Vendredi",2,6,Oui,30
120,07/06/2017 18:21:46,Une femme,22,Branche,GSM04,Oui,Oui,Jamais bu,Jamais bu,Bof...,Jamais bu,J'adore !,Jamais bu,Pas mal,J'adore !,Jamais bu,J'adore !,J'adore !,3,15,20:00:00,23:00:00,10,"Non, manger c'est tricher","Mercredi, Jeudi, Vendredi",3,7,Non,
121,07/06/2017 18:21:51,Un homme,21,Branche,,Oui,Oui,J'adore !,Jamais bu,Jamais bu,Jamais bu,Bof...,Jamais bu,Bof...,Jamais bu,Bof...,Bof...,Pas mal,2,15,20:00:00,22:00:00,20,Oui,"Jeudi, Vendredi",2,4,Non,
122,07/06/2017 18:21:56,Un homme,20,Branche,Gsm02,Oui,Oui,Pas mal,J'adore !,Pas mal,Pas mal,Bof...,J'adore !,Pas mal,J'adore !,Pas mal,Pas mal,Pas mal,2,20,20:00:00,22:00:00,5,"Non, manger c'est tricher","Mardi, Jeudi, Vendredi",3,7,Oui,Ne sais pas
123,07/06/2017 18:21:57,Un homme,21,Branche,GM01,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Je déteste !,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,Je déteste !,3,25,20:15:00,22:30:00,20,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",5,3,Oui,30
124,07/06/2017 18:22:16,Un homme,24,Branche,GI07,Oui,Oui,Bof...,J'adore !,Jamais bu,Je déteste !,Je déteste !,Pas mal,Je déteste !,J'adore !,Pas mal,Je déteste !,Bof...,3,15,18:15:00,22:45:00,6,"Non, je mange un menu au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,2,Oui,10
125,07/06/2017 18:22:54,Une femme,20,Branche,GSU02,Oui,Oui,J'adore !,Jamais bu,Pas mal,Bof...,Bof...,Jamais bu,J'adore !,Jamais bu,Pas mal,J'adore !,Je déteste !,2,20,20:00:00,22:40:00,7,Oui,"Mercredi, Jeudi, Vendredi",2,10,Oui,10
126,07/06/2017 18:23:29,Un homme,19,Tronc commun,TC02,Oui,Oui,Pas mal,Bof...,Bof...,J'adore !,Bof...,J'adore !,Pas mal,Pas mal,J'adore !,Pas mal,Je déteste !,3,15,19:30:00,22:00:00,8€,Oui,"Jeudi, Vendredi",4,4,Non,
127,07/06/2017 18:23:40,Une femme,18,Tronc commun,TC02,Oui,Oui,Pas mal,Jamais bu,Bof...,Jamais bu,J'adore !,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Bof...,J'adore !,2,30,18:30:00,22:00:00,6,"Non, je mange des snacks au Pic","Mardi, Jeudi",2,4,Non,
128,07/06/2017 18:23:44,Un homme,19,Branche,GI01,Oui,Oui,J'adore !,Pas mal,Pas mal,J'adore !,Bof...,Bof...,Pas mal,Bof...,J'adore !,J'adore !,Pas mal,2,30,20:00:00,22:00:00,5,Oui,"Lundi, Mardi, Jeudi, Vendredi",2,5,Oui,
129,07/06/2017 18:24:57,Un homme,20,Tronc commun,TC4,Oui,Oui,Je déteste !,Pas mal,Bof...,Pas mal,Bof...,Bof...,Pas mal,Pas mal,Pas mal,J'adore !,Pas mal,3,30,18:30:00,22:00:00,15,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",3,4,Oui,6
130,07/06/2017 18:25:14,Un homme,22,Branche,GB03,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Pas mal,Jamais bu,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,Jamais bu,3,25,19:15:00,21:30:00,6,Oui,"Mercredi, Jeudi, Vendredi",1,3,Oui,20
131,07/06/2017 18:25:43,Une femme,20,Tronc commun,TC04,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Pas mal,Je déteste !,Jamais bu,Pas mal,Bof...,J'adore !,Pas mal,Je déteste !,3,30,20:30:00,22:00:00,10,Oui,"Jeudi, Vendredi",3,5,Oui,30
132,07/06/2017 18:26:28,Une femme,19,Branche,GM02,Oui,Oui,J'adore !,Jamais bu,Pas mal,J'adore !,Jamais bu,Jamais bu,Jamais bu,Jamais bu,J'adore !,J'adore !,Jamais bu,3,20,20:00:00,22:00:00,15,Oui,"Mardi, Jeudi, Vendredi",2,6,Non,
133,07/06/2017 18:26:37,Une femme,21,Branche,GM04,Oui,Oui,J'adore !,Je déteste !,Bof...,Jamais bu,Pas mal,Jamais bu,Jamais bu,Jamais bu,J'adore !,J'adore !,Pas mal,3,25,19:30:00,22:30:00,8,Oui,Vendredi,3,3,Oui,aucune idée
134,07/06/2017 18:28:01,Une femme,19,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,J'adore !,Jamais bu,J'adore !,Pas mal,Jamais bu,Jamais bu,J'adore !,2,10,20:30:00,22:00:00,10,Oui,"Jeudi, Vendredi",3,4,Non,
135,07/06/2017 18:28:16,Une femme,18,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Pas mal,Jamais bu,J'adore !,Jamais bu,Jamais bu,J'adore !,Jamais bu,1,18,21:00:00,22:00:00,6,Oui,Vendredi,3,4,Non,
136,07/06/2017 18:28:37,Un homme,23,Branche,GI06,Oui,Oui,Pas mal,Pas mal,Pas mal,Pas mal,Bof...,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,Bof...,6,15,19:00:00,22:00:00,50,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",5,15,Non,
137,07/06/2017 18:28:58,Une femme,21,Tronc commun,,Oui,Oui,J'adore !,Bof...,Bof...,J'adore !,J'adore !,Je déteste !,Je déteste !,Je déteste !,Pas mal,Pas mal,Bof...,2,40,19:00:00,23:00:00,5,"Non, je mange des snacks au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",1,15,Oui,40
138,07/06/2017 18:29:15,Une femme,20,Branche,GS02,Oui,Oui,Pas mal,Pas mal,Jamais bu,Jamais bu,J'adore !,Jamais bu,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,2,20,20:30:00,22:00:00,10,Oui,"Mercredi, Jeudi, Vendredi",2,5,Oui,5
139,07/06/2017 18:30:19,Un homme,22,Branche,GSM02,Oui,Oui,Jamais bu,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,Pas mal,5,15,19:30:00,22:30:00,10,"Non, manger c'est tricher","Mardi, Mercredi, Jeudi, Vendredi",4,6,Oui,30
140,07/06/2017 18:30:24,Une femme,19,Tronc commun,TC04,Oui,Oui,J'adore !,Jamais bu,Bof...,Pas mal,Pas mal,Jamais bu,J'adore !,J'adore !,J'adore !,J'adore !,Bof...,2,20,20:00:00,22:00:00,15,Oui,"Mardi, Mercredi, Jeudi",3,6,Oui,45
141,07/06/2017 18:30:33,Une femme,22,Branche,GB04,Oui,Oui,Pas mal,Jamais bu,Pas mal,J'adore !,J'adore !,Jamais bu,J'adore !,Jamais bu,Pas mal,J'adore !,Bof...,2,20,20:00:00,22:30:00,8,"Non, je mange des snacks au Pic",,2,6,Non,
142,07/06/2017 18:30:48,Un homme,21,Branche,GI04,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Je déteste !,Bof...,Jamais bu,J'adore !,J'adore !,J'adore !,J'adore !,Bof...,3,20,19:30:00,22:30:00,20,Oui,"Lundi, Jeudi, Vendredi",2,8,Oui,23
143,07/06/2017 18:31:41,Une femme,18,Tronc commun,,Oui,Oui,Jamais bu,Jamais bu,Je déteste !,Jamais bu,Pas mal,Pas mal,Pas mal,Jamais bu,Jamais bu,Jamais bu,J'adore !,2,20,20:30:00,22:00:00,,Oui,"Mardi, Jeudi, Vendredi",1,5,Non,
144,07/06/2017 18:33:24,Une femme,19,Tronc commun,TC02,Oui,Oui,Jamais bu,J'adore !,J'adore !,Pas mal,Jamais bu,Jamais bu,J'adore !,J'adore !,Jamais bu,J'adore !,Jamais bu,4 - 5,20,20:15:00,22:00:00,8,Oui,"Mardi, Jeudi, Vendredi",3,8,Non,
145,07/06/2017 18:33:56,Un homme,20,Branche,GI01,Oui,Oui,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,J'adore !,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,2,15,20:15:00,22:00:00,J'en ai pas,"Non, manger c'est tricher","Mercredi, Vendredi",3,2,Oui,30
146,07/06/2017 18:37:15,Un homme,22,Branche,GM03,Non,,,,,,,,,,,,,,,,,,,,,,,
147,07/06/2017 18:37:30,Un homme,20,Branche,GM02,Oui,Oui,Pas mal,Jamais bu,,,Pas mal,Jamais bu,J'adore !,,Jamais bu,J'adore !,Pas mal,3,25,19:30:00,21:40:00,J'en ais pas ,"Non, manger c'est tricher",Jeudi,2,7,Non,
148,07/06/2017 18:39:15,Un homme,21,Branche,GM02,Oui,Oui,Pas mal,Jamais bu,Bof...,Pas mal,Pas mal,J'adore !,Pas mal,Pas mal,J'adore !,Bof...,Je déteste !,3,30,19:30:00,22:00:00,8,"Non, manger c'est tricher","Mardi, Jeudi, Vendredi",3,5,Oui,35
149,07/06/2017 18:40:54,Une femme,22,Branche,GP04,Oui,Oui,J'adore !,Jamais bu,Je déteste !,Pas mal,Pas mal,Jamais bu,Bof...,Jamais bu,J'adore !,Pas mal,Pas mal,3,30,20:15:00,22:30:00,10,Oui,"Jeudi, Vendredi",3,8,Oui,25
150,07/06/2017 18:43:07,Un homme,21,Branche,GB03,Oui,Non,,,,,,,,,,,,0,0,18:30:00,22:00:00,10,"Non, je mange un menu au Pic","Lundi, Mercredi, Vendredi",,10,Oui,30
151,07/06/2017 18:43:57,Un homme,18,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Pas mal,Jamais bu,Jamais bu,J'adore !,Pas mal,J'adore !,J'adore !,J'adore !,J'adore !,2,15,20:00:00,22:00:00,5,Oui,"Mardi, Jeudi",4,10,Non,
152,07/06/2017 18:44:23,Un homme,20,Branche,GSM02,Oui,Oui,Jamais bu,Jamais bu,Bof...,Je déteste !,Jamais bu,Bof...,J'adore !,Jamais bu,Jamais bu,J'adore !,Je déteste !,5,20,20:00:00,22:00:00,8,"Non, manger c'est tricher","Jeudi, Vendredi",3,12,Non,
153,07/06/2017 18:44:27,Un homme,23,Branche,GSM06,Oui,Oui,Jamais bu,Je déteste !,Jamais bu,Jamais bu,Bof...,Jamais bu,Je déteste !,Pas mal,J'adore !,J'adore !,J'adore !,3,20,19:30:00,22:00:00,10,Oui,"Lundi, Mardi, Mercredi, Jeudi, Vendredi",3,4,Oui,60
154,07/06/2017 18:44:37,Un homme,19,Tronc commun,TC02,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Je déteste !,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,Je déteste !,3,15,20:15:00,22:00:00,10,Oui,"Mardi, Jeudi, Vendredi",3,6,Non,
155,07/06/2017 18:45:58,Une femme,19,Tronc commun,TC04,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Jamais bu,Pas mal,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Bof...,J'adore !,2,25,18:45:00,20:30:00,7,"Non, je mange des snacks au Pic",Vendredi,2,7,Non,
156,07/06/2017 18:46:51,Un homme,21,Branche,GB04,Oui,Oui,Bof...,J'adore !,J'adore !,Pas mal,Je déteste !,Bof...,J'adore !,J'adore !,J'adore !,J'adore !,Je déteste !,4,20,19:30:00,22:00:00,20,"Non, je mange des snacks au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",5,10,Oui,20
157,07/06/2017 18:47:58,Un homme,17,Tronc commun,TC2,Oui,Non,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,0,0,20:40:00,22:00:00,0.65,Oui,Vendredi,,6,Non,
158,07/06/2017 18:48:28,Une femme,20,ESCOM,2eme année,Oui,Oui,Bof...,Pas mal,Pas mal,J'adore !,Je déteste !,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,Je déteste !,3,30,20:30:00,22:00:00,10,"Non, manger c'est tricher","Mardi, Jeudi, Vendredi",2,2,Oui,30 ? 60 ? Avec mousse dans les mauvais jours ...
159,07/06/2017 18:50:20,Un homme,22,Branche,Gm04,Oui,Oui,J'adore !,Jamais bu,J'adore !,J'adore !,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,Pas mal,3,30,19:00:00,21:45:00,Infini,"Non, je mange un menu au Pic","Mardi, Jeudi",3,5,Oui,20
160,07/06/2017 18:50:38,Un homme,18,Tronc commun,tc02,Oui,Oui,Jamais bu,Jamais bu,Bof...,Bof...,Bof...,Pas mal,Pas mal,Bof...,J'adore !,Je déteste !,Bof...,3,15,20:00:00,22:00:00,7,Oui,Vendredi,3,4,Oui,45
161,07/06/2017 18:51:09,Un homme,19,Tronc commun,tc02,Oui,Oui,Jamais bu,Jamais bu,Bof...,Jamais bu,Jamais bu,Jamais bu,J'adore !,Jamais bu,J'adore !,Pas mal,J'adore !,1,10min,20:00:00,21:00:00,5,Oui,Mercredi,3,4,Non,
162,07/06/2017 18:51:21,Un homme,21,Branche,gsu02,Oui,Oui,Jamais bu,Pas mal,Pas mal,Jamais bu,Pas mal,J'adore !,J'adore !,Pas mal,J'adore !,J'adore !,Pas mal,3,15,19:30:00,22:00:00,20,"Non, manger c'est tricher","Lundi, Mercredi, Vendredi",4,4,Non,
163,07/06/2017 18:52:18,Une femme,19,Tronc commun,TC04,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Pas mal,Pas mal,Pas mal,J'adore !,Jamais bu,J'adore !,J'adore !,J'adore !,2,30,20:00:00,22:30:00,10,Oui,"Jeudi, Vendredi",2,5,Oui,aucune idée
164,07/06/2017 18:53:03,Un homme,24,Branche,GM05,Oui,Oui,Jamais bu,J'adore !,J'adore !,J'adore !,Bof...,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,Bof...,3,15,19:45:00,22:00:00,5,"Non, manger c'est tricher","Mardi, Vendredi",4,5,Oui,10
